

DGS(70.1) 69558-300Hi   (LSW(Ein)-DGL)   Letzte Änd. 23.11.2017 16:24 LLR029

Trasse;Zuggattung;TFZ - Standard;TFZ - Abschnittswirkend;Wagen;Wagenzuglänge;Gesamtlänge;Wagenzugmasse;Grenzlast;Gesamtmasse;V Wagenzug;V Konstruktion;Max. V;LZB-fähig;ETCS-Zugausrüstung;Bremsstellung;Bremshundertstel;Neigetechnik;LÜ-Charakteristik;LÜ-Abschnitt;LÜ-Text;Bef.Bes.;Sperrfahrt;Abweich. HV-Vmax;Anteil Regelzuschlag;CLuft;CLager;Verkehrt;Zugkl.;Rel. Halteplatzart;Kommentar
H6317 / Ä69558/2;DGS 70.1;151-1 (Reisezug/Güterzug (6,0MW)) (Zuglok, vorne);;0;610,0 m;629,5 m;1600,0 t;N;1718,0 t;100 km/h;;100 km/h;J;;P;68;;;;;HKP/C70 P/C400  SKL-GEFORDERT  LADEGUT  RM;N;;100 %;0,050;1,4;30.09.18 - 08.12.18 Sa (002 00);NGz;G;"AWHOD - DGL|Dradenau - LSW - Glauchau|H6317 -- HSL Logistik|KV P/C 70 P/C 400|Sk D4, LZB|alt: 69488;;;|NÄ zum 01.05.18 ausgelöst wg. Zs-Teilung||"

Btrst.;Btrst.(lang);Halt mind.;Ankunft;ZuHalt;Halt;ZuHalt;Abfahrt;ZLB;Endpunkt;Zuschlag Schlepp.;Zuschlag;Bauzuschlag;Fahrweg
Einbruch in LSW über 6899-0, Wunschabfahrt um 1/01:19.6 Uhr in LSW
LSW;Salzwedel;;;;;;1/01:20.0;;6899-3;00:00.0;;;HU-12-LSWG
LSW G;Salzwedel Gbf;;;;;;1/01:20.9;;6899-0;00:00.0;;;LSW-124-LS
L908S;Sbk 908 (LPRZ);;;;;;1/01:25.3;;6899-0;00:00.0;;;LSW-LS
LPRZ;Pretzier (Altm);;;;;;1/01:25.4;;6899-0;00:00.0;;;LSW-LS
L907S;Sbk 907 (LPRZ);;;;;;;;6899-0;;;;LSW-LS
LRAD;Rademin;;;;;;1/01:28.3;;6899-2;00:00.0;;;LSW-1-LS
LFL;Fleetmark;;;;;;1/01:31.2;;6899-2;00:00.0;;;LSW-LS
L906S;Sbk 906 (LBRP);;;;;;1/01:31.9;;6899-2;00:00.0;;;LSW-LS
L905S;Sbk 31905 (LBRP);;;;;;;;6899-2;;;;LSW-LS
LBRP;Brunau-Packeb;;;;;;1/01:36.5;;6899-2;00:00.0;0.3 / 7,9%;;LSW-3-LS
L904S;Sbk 30904 (LHWU);;;;;;1/01:40.2;;6899-2;00:00.3;;;LSW-LS
LMF;Meßdorf;;;;;;1/01:40.7;;6899-2;00:00.3;0.1 / 1,3%;;LSW-LS
L903S;Sbk 30903 (LHWU);;;;;;;;6899-2;;;;LSW-LS
L9033;Sbk 309033 LHWU;;;;;;;;6899-2;;;;LSW-LS
L9031;Sbk 309031 LHWU;;;;;;;;6899-2;;;;LSW-LS
LHWU;Hohenwulsch;00:20.0;1/01:45.5;;00:24.0;;1/02:09.5;;6899-0;00:00.4;0.1 / 3,0%;;LSW-2-LS
LKD;Kläden (Kr Stl);;;;;;1/02:13.8;;6899-0;00:00.5;;;LSW-22-LS
LKD H;Kläden Bstg;;;;;;1/02:14.4;;6899-0;00:00.5;;;LSW-222-LS
LSFD;Steinfeld(b Stl);;;;;;1/02:17.6;;6899-0;00:00.5;;;LSW-901-LS
L902S;Sbk 902 (LS);;;;;;1/02:17.7;;6899-0;00:00.5;;;LSW-LS
L901S;Sbk 901 (LS);;;;;;;;6899-0;;;;LSW-LS
LS  G;Stendal Gbf;;;;;;1/02:22.7;;6899-0;00:00.5;;;LSW-705/605-LS
LS;Stendal;;;;;;1/02:23.7;;6402-2;00:00.5;;;LSG(605)-5/204-LM
L2594;Sbk 2594 (LS);;;;;;1/02:29.3;;6402-2;00:00.5;0.1 / 4,5%;;LS-LGLB
L2592;Sbk 2592 (LS);;;;;;;;6402-2;;;;LS-LGLB
LDK;Demker;;;;;;1/02:30.9;;6402-2;00:00.6;0.3 / 5,0%;;LS-LGLB
L7893;Sbk 7893 (LTH);;;;;;;;6402-2;;;;LS-LGLB
L7891;Sbk 7891 (LTH);;;;;;;;6402-2;;;;LS-LGLB
LTH;Tangerhütte;;;;;;1/02:37.2;;6402-2;00:00.9;0.2 / 5,0%;;LS-2-LGLB Gz
LMW;Mahlwinkel;;;;;;1/02:40.5;;6402-2;00:01.1;0.2 / 5,0%;;LS-LGLB
LANG;Angern-Rogätz;;;;;;1/02:44.7;;6402-2;00:01.3;0.2 / 5,0%;;LS-1-LGLB
LZI Z;Zielitz Stw B2;;;;;;1/02:48.1;;6402-2;00:01.4;0.1 / 5,0%;;LS-2-LZI(2)
LZI;Zielitz;;;;;;1/02:49.8;;6402-2;00:01.5;;;LZIZ(2)-2-LGLB
LZIO;Zielitz Ort;;;;;;1/02:50.4;;6402-2;00:01.5;0.2 / 5,0%;;LS-LGLB
LWLS;Wolmirstedt;;;;;;1/02:53.7;;6402-2;00:01.7;0.1 / 5,0%;;LS-1-LGLB
LBAS;Barleber See;;;;;;1/02:56.3;;6402-2;00:01.8;;;LWLS-LGLB
LGLB;Glindenberg;;;;;;1/02:57.4;;6406-2;00:01.8;0.1 / 2,8%;;LS-2-LMR
LMR F;Mg-Rothensee Rmf;;1/03:01.0;;+00:05.0;;1/03:06.0;;6406-2;00:01.9;0.1 / 5,1%;;LGLB-A0-LMR
LMR;Mg-Rothensee;;;;;;1/03:07.3;;6408-2;00:02.0;0.3 / 5,1%;;LMRF-B1/B3-LBRC
LBRC;Brücke;;;(Z 00:03.0);;;1/03:15.5;;6110-2;00:02.2;;;LMR-LBZ
L3222;Sbk 3222 (LBZ);;;;;;1/03:16.8;;6110-2;00:02.2;;;LM-LBZ
L3220;Sbk 3220 (LBZ);;;;;;;;6110-2;;;;LM-LBZ
LMHR;Mg-Herrenkrug;;;;;;1/03:17.0;;6110-2;00:02.3;;;LM-LBZ
L3223;Sbk 3223 (LBZ);;;;;;;;6110-2;;;;LM-LBZ
L3225;Sbk 3225 (LBZ);;;;;;;;6110-2;;;;LM-LBZ
L3226;Sbk 3226 (LBZ);;;;;;1/03:17.9;;6110-2;00:02.3;0.1 / 2,8%;;LM-LBZ
L3224;Sbk 3224 (LBZ);;;;;;;;6110-2;;;;LM-LBZ
L3227;Sbk 3227 (LBZ);;;;;;;;6110-2;;;;LM-LBZ
L3229;Sbk 3229 (LBZ);;;;;;;;6110-2;;;;LM-LBZ
LBZ;Biederitz;;;;;;1/03:19.8;;6410-1;00:02.3;0.7 / 21,8%;;LM-11-LROD
LKB;Königsborn;;;;;;1/03:23.6;;6410-1;00:03.0;0.7 / 29,3%;;LBZ-2-LROD
LWH;Wahlitz;;;;;;1/03:26.5;;6410-1;00:03.7;0.3 / 9,0%;;LBZ-LROD
LGO;Gommern;;;;;;1/03:30.1;;6410-1;00:04.0;0.4 / 8,8%;;LBZ-1-LROD
LPRL;Prödel;;;;;;1/03:34.5;;6410-1;00:04.3;0.1 / 8,8%;;LBZ-LROD
LLBS;Lübs (b Magdeb);;;;;;1/03:36.2;;6410-1;00:04.5;0.2 / 8,8%;;LBZ-LROD
LGK N;Güterglück Gkn;;;;;;1/03:38.9;;6410-1;00:04.7;;;LBZ-1-LGK(11)
LGK;Güterglück;;;;;;1/03:39.4;;6410-1;00:04.7;0.3 / 8,8%;;LBZ-11-LROD
LTNZ;Trebnitz Strw;;;;;;;;6411-1;;;;LBZ-LROD
L2013;Sbk 2013 (LGK);;;;;;1/03:43.2;;6411-1;00:05.0;0.2 / 8,8%;;LBZ-LROD
L2014;Sbk 2014 (LGK);;;;;;;;6411-1;;;;LBZ-LROD
L2016;Sbk 2016 (LGK);;;;;;;;6411-1;;;;LBZ-LROD
