

Trasse L1264 / 3907/1   

RE-G(40.1) 3907-101Dk   (UE  P-UG)   Letzte Änd. 30.06.2017 09:19 LLR092

Trasse;Zuggattung;TFZ - Standard;TFZ - Abschnittswirkend;Wagen;Wagenzuglänge;Gesamtlänge;Wagenzugmasse;Grenzlast;Gesamtmasse;V Wagenzug;V Konstruktion;Max. V;LZB-fähig;ETCS-Zugausrüstung;Bremsstellung;Bremshundertstel;Neigetechnik;LÜ-Charakteristik;LÜ-Abschnitt;LÜ-Text;Bef.Bes.;Sperrfahrt;Abweich. HV-Vmax;Anteil Regelzuschlag;CLuft;CLager;Verkehrt;Zugkl.;Rel. Halteplatzart;Kommentar
L1264 / 3907/1;RE-G 40.1;"612-5 (3x (2tlg; 1120kW, NT)) (Zuglok, vorne)";;0;0,0 m;156,0 m;0,0 t;N;327,0 t;160 km/h;160 km/h;160 km/h;N;;R+Mg;211;aktive Neigetechnik;;;;;N;;100 %;;;01.05.18 - 08.12.18 täglich (127 00);NRz;R;UE - LA|RE 3   Erfurt Hbf - Altenburg

Btrst.;Btrst.(lang);Halt mind.;Ankunft;ZuHalt;Halt;ZuHalt;Abfahrt;ZLB;Endpunkt;Zuschlag Schlepp.;Zuschlag;Bauzuschlag;Fahrweg
Wunschabfahrt um 11:07.3 Uhr in UWM
UE  P;Erfurt Pbf;00:05.0;(10:35.2);;00:15.0;;10:50.2;;6340-2;00:00.0;-0.5 / -19,0%;;UEBI(6340)-18/12-UEL(310) H18
UE  O;Erfurt Gbf Ost;;;;;;10:52.4;;6340-2;-00:00.5;-0.2 / -19,0%;;UEP(310)-210-UEL(210)
UE  L;Erf Linderbach;;;;;;10:53.1;;6340-2;-00:00.7;;;UE(210)-210-UWM
U152V;Sbk 11152 (UVI);;;;;;10:53.8;;6340-2;-00:00.7;;;UE-UWM
UVI;Vieselbach;;;;;;10:54.6;;6340-2;-00:00.7;0.1 / 10,3%;;UE-2-UWM
U132V;Sbk 11132 (UVI);;;;;;10:56.2;;6340-2;-00:00.5;0.1 / 10,3%;;UE-UWM
UHP;Hopfgarten(Kr W);;;;;;10:57.3;;6340-2;-00:00.4;;;UE-UWM
U122V;Sbk 11122 (UVI);;;;;;10:57.6;;6340-2;-00:00.4;0.1 / 10,3%;;UE-UWM
U112V;Sbk 11112 (UVI);;;;;;10:58.2;;6340-2;-00:00.3;0.4 / 10,3%;[0.4;UE-UWM
UWM;Weimar;00:02.0;11:02.8;(Z 00:00.0);00:02.0;;11:04.8;;6307-1;00:00.4;0.1 / 3,1%;] [0.4;UE-1/34-UGW
U1112;Sbk 1112 (UGC);;;;;;11:08.1;;6307-1;00:00.9;;;UWM-UGW
UOB;Oberweimar;;;;;;11:08.2;;6307-1;00:00.9;;];UWM-UGW
U1111;Sbk 1111 (UGC);;;;;;11:08.3;;6307-1;00:00.9;0.1 / 7,2%;;UWM-UGW
UMEN;Mellingen (Thür);;;;;;11:09.8;;6307-1;00:01.0;0.2 / 7,2%;;UWM-1-UGW
UGC;Großschwabhausen;;;;;;11:12.8;;6307-1;00:01.2;0.6 / 11,5%;;UWM-1-UGW
UJW;Jena West;00:02.0;11:18.2;;00:02.0;;11:20.2;;6307-1;00:01.8;;;UWM-1-UGW
UGW;Jena-Göschwitz;00:01.0;11:24.2;;00:01.0;;11:25.2;;6307-1;00:01.8;0.2 / 7,9%;;UWM-10-UG
UNS;Neue Schenke;;;;;;11:28.0;;6307-1;00:02.0;;;UGW-UG
U3001;Sbk 3001 (USR);;;;;;11:28.0;;6307-1;00:02.0;0.1 / 2,5%;;UGW-UG
U3101;Sbk 3101 (USR);;;;;;11:30.7;;6307-1;00:02.1;0.1 / 14,4%;;UGW-UG
USR;Stadtroda;00:00.7;11:31.6;;00:00.7;;11:32.3;;6307-1;00:02.2;;;UGW-UG
UPM;Papiermühle;;;;;;11:36.2;;6307-0;00:02.2;;;UGW-1-UG
UHK;Hermsdorf-Klost;00:00.7;11:39.7;;00:00.7;;11:40.4;;6307-1;00:02.2;;;UGW-1-UG
UKR;Kraftsdorf;;;;;;11:44.7;;6307-1;00:02.2;;;UGW-UG
UTP;Töppeln;;;;;;11:47.1;;6307-1;00:02.2;;[0.1;UGW-UG
UTPU;Töppeln Üst;;;;;;11:47.7;;6307-0;00:02.3;;0.7;UGW-UG
UG  T;Gera-Tinz;;;;;;11:51.1;;6276-0;00:03.0;0.3 / 33,9%;];UGW-223-UGG
UG  G;Gera Güterbf;;;;;;11:52.4;;6276-0;00:03.3;0.1 / 5,1%;;UGT-210-UG(Gl3)
UG;Gera Hbf;00:02.0;11:53.6;;00:05.0;;(11:58.6);;6383-1;00:03.4;;;UGG(Gl10)-2-UGDE


RE-G(40.1) 3907-102Gr   (UG-LA)   Letzte Änd. 30.06.2017 09:09 LLR092

