"BEST.ZCH1_SOLL";"BEST.ZCH2_SOLL";"BEST.ZCH3_SOLL";"BEST.GESAMT_SOLL";"BEST.ZCH1_IST";"BEST.ZCH2_IST";"BEST.ZCH3_IST";"BEST.GESAMT_IST";"BEST.ZFW";"BEST.ZFW_NEW";"BEST.MIN_REL";"INDEX";"CORRECT_ZFW";"ERR_BEST_ZFW";"CORRECT_T1";"ERR_BEST_T1"
3;3;3;9;0;0;0;0;9;0;0;86;TRUE;NA;TRUE;NA
3;3;3;9;0;0;1;1;7,33333333333333;1;0;172;TRUE;NA;TRUE;NA
3;3;3;9;0;1;1;2;5,66666666666667;2;0;479;TRUE;NA;TRUE;NA
3;3;3;9;1;1;1;3;4;3;0,333;1167;TRUE;NA;TRUE;NA
3;3;3;9;1;1;2;4;3;3,03685732652804;0,333;1764;TRUE;NA;TRUE;NA
3;3;3;9;2;2;1;5;2;3,07371465305609;0,333;2857;TRUE;NA;TRUE;NA
3;3;3;9;2;2;2;6;1;3,11057197958413;0,667;3691;TRUE;NA;TRUE;NA
3;3;3;9;2;2;3;7;0,666666666666667;3,11193044210292;0,667;4615;TRUE;NA;TRUE;NA
3;3;3;9;2;3;3;8;0,333333333333333;3,11328890462172;0,667;5594;TRUE;NA;TRUE;NA
3;3;3;9;3;3;3;9;0;3,11464736714051;1;6559;TRUE;NA;TRUE;NA
4;3;2;9;0;0;0;0;9;0;0;85;TRUE;NA;TRUE;NA
4;3;2;9;0;0;1;1;7,5;1;0;171;TRUE;NA;TRUE;NA
4;3;2;9;0;1;1;2;5,83333333333333;2;0;478;TRUE;NA;TRUE;NA
4;3;2;9;1;1;1;3;4,08333333333333;3;0,25;1166;TRUE;NA;TRUE;NA
4;3;2;9;2;1;1;4;2,83333333333333;3,08411876203952;0,333;2042;TRUE;NA;TRUE;NA
4;3;2;9;2;2;1;5;1,83333333333333;3,12097608856756;0,5;2856;TRUE;NA;TRUE;NA
4;3;2;9;3;2;1;6;1,08333333333333;3,12805205469463;0,5;3950;TRUE;NA;TRUE;NA
4;3;2;9;3;2;2;7;0,583333333333333;3,13512802082169;0,667;4801;TRUE;NA;TRUE;NA
4;3;2;9;3;3;2;8;0,25;3,13648648334048;0,75;5723;TRUE;NA;TRUE;NA
4;3;2;9;4;3;2;9;0;3,13708170485133;1;6687;TRUE;NA;TRUE;NA
4;4;1;9;0;0;0;0;9;0;0;84;TRUE;NA;TRUE;NA
4;4;1;9;0;0;1;1;8;1;0;170;TRUE;NA;TRUE;NA
4;4;1;9;0;1;1;2;6,25;2;0;477;TRUE;NA;TRUE;NA
4;4;1;9;1;1;1;3;4,5;3;0,25;1165;TRUE;NA;TRUE;NA
4;4;1;9;1;2;1;4;3,25;3,08411876203952;0,25;1841;TRUE;NA;TRUE;NA
4;4;1;9;2;2;1;5;2;3,16823752407904;0,5;2855;TRUE;NA;TRUE;NA
4;4;1;9;2;3;1;6;1,25;3,17531349020611;0,5;3754;TRUE;NA;TRUE;NA
4;4;1;9;3;3;1;7;0,5;3,18238945633317;0,75;4865;TRUE;NA;TRUE;NA
4;4;1;9;3;4;1;8;0,25;3,18298467784401;0,75;5768;TRUE;NA;TRUE;NA
4;4;1;9;4;4;1;9;0;3,18357989935485;1;6731;TRUE;NA;TRUE;NA
5;2;2;9;0;0;0;0;9;0;0;83;TRUE;NA;TRUE;NA
5;2;2;9;0;0;1;1;7,5;1;0;169;TRUE;NA;TRUE;NA
5;2;2;9;0;1;1;2;6;2;0;476;TRUE;NA;TRUE;NA
5;2;2;9;1;1;1;3;4,2;3;0,2;1164;TRUE;NA;TRUE;NA
5;2;2;9;2;1;1;4;2,8;3,13801118920923;0,4;2040;TRUE;NA;TRUE;NA
5;2;2;9;3;1;1;5;1,8;3,15705827755617;0,5;3054;TRUE;NA;TRUE;NA
5;2;2;9;3;1;2;6;1,3;3,16413424368323;0,5;3870;TRUE;NA;TRUE;NA
5;2;2;9;3;2;2;7;0,8;3,1712102098103;0,6;4800;TRUE;NA;TRUE;NA
5;2;2;9;4;2;2;8;0,2;3,17383892112403;0,8;5866;TRUE;NA;TRUE;NA
5;2;2;9;5;2;2;9;0;3,17420171269853;1;6821;TRUE;NA;TRUE;NA
5;3;1;9;0;0;0;0;9;0;0;82;TRUE;NA;TRUE;NA
5;3;1;9;0;0;1;1;8;1;0;168;TRUE;NA;TRUE;NA
5;3;1;9;0;1;1;2;6,33333333333333;2;0;475;TRUE;NA;TRUE;NA
5;3;1;9;1;1;1;3;4,53333333333333;3;0,2;1163;TRUE;NA;TRUE;NA
5;3;1;9;2;1;1;4;3,13333333333333;3,13801118920923;0,333;2039;TRUE;NA;TRUE;NA
5;3;1;9;2;2;1;5;2,13333333333333;3,17486851573727;0,4;2853;TRUE;NA;TRUE;NA
5;3;1;9;3;2;1;6;1,13333333333333;3,19391560408421;0,6;3947;TRUE;NA;TRUE;NA
5;3;1;9;4;2;1;7;0,533333333333333;3,19654431539795;0,667;5056;TRUE;NA;TRUE;NA
5;3;1;9;4;3;1;8;0,2;3,19790277791674;0,8;5929;TRUE;NA;TRUE;NA
5;3;1;9;5;3;1;9;0;3,19826556949124;1;6879;TRUE;NA;TRUE;NA
6;2;1;9;0;0;0;0;9;0;0;81;TRUE;NA;TRUE;NA
6;2;1;9;0;0;1;1;8;1;0;167;TRUE;NA;TRUE;NA
6;2;1;9;0;1;1;2;6,5;2;0;474;TRUE;NA;TRUE;NA
6;2;1;9;1;1;1;3;4,66666666666667;3;0,167;1162;TRUE;NA;TRUE;NA
6;2;1;9;2;1;1;4;3,16666666666667;3,19198262038019;0,333;2038;TRUE;NA;TRUE;NA
6;2;1;9;3;1;1;5;2;3,22883994690823;0,5;3052;TRUE;NA;TRUE;NA
6;2;1;9;3;2;1;6;1,5;3,23591591303529;0,5;3946;TRUE;NA;TRUE;NA
6;2;1;9;4;2;1;7;0,666666666666667;3,24299187916235;0,667;5055;TRUE;NA;TRUE;NA
6;2;1;9;5;2;1;8;0,166666666666667;3,24435034168115;0,833;6107;TRUE;NA;TRUE;NA
6;2;1;9;6;2;1;9;0;3,24461114287519;1;7024;TRUE;NA;TRUE;NA
7;1;1;9;0;0;0;0;9;0;0;80;TRUE;NA;TRUE;NA
